reviewId,app_name,content,sentiment_polarity,sentiment,Unnamed: 5,content_traduzido,spacy_lemma
01e23c15-44bf-46b7-b280-40e880d9d49b,Shopee,"O app da Shopee é razoável. Apesar de ser fácil de utilizar, apresenta alguns bugs. Por exemplo: Sugestão de palavra errada no campo de pesquisa que acarreta na busca errada. Sugestões de produtos que não têm nada a ver com coisas de nosso interesse. Dificuldade de acesso de alguns jogos ou travamento durante alguma jogada. Falhas para carregar certos anexos para avaliação dos produtos. No geral, são problemas que se pode contornar, pois não ocorrem com tanta frequência.",positive,sadness,,o app shopee razoavel apesar facil utilizar apresenta alguns bugs por exemplo sugestao palavra errada campo pesquisa acarreta busca errada sugestoes produtos nada ver coisas interesse dificuldade acesso alguns jogos travamento durante alguma jogada falhas carregar certos anexos avaliacao produtos no geral problemas pode contornar pois ocorrem tanta frequencia,"['app', 'shopee', 'razoavel', 'apesar', 'facil', 'utilizar', 'apresentar', 'bugs', 'exemplo', 'sugestao', 'palavra', 'errar', 'Campo', 'pesquisa', 'acarreto', 'busco', 'errar', 'sugestoes', 'produto', 'nada', 'ver', 'coisa', 'interesse', 'dificuldade', 'acesso', 'jogo', 'travamento', 'jogada', 'falho', 'carregar', 'anexo', 'avaliacao', 'produto', 'geral', 'problema', 'poder', 'contornar', 'ocorr', 'frequencia']"
df40ba7c-075d-48dc-b798-21466dfb41d6,Shopee,"O app é bem otimizado, fácil de visualizar os produtos, pedidos e rastreio, interface intuitiva, porém existem incômodos, acho que o principal é a má recomendação de produtos, as vezes aparece uns produtos que não deveriam aparecer e que não tem nada a ver com o pesquisado até então, (como brinquedos sexuais), me incomoda um pouco isso porém não atrapalha por completo a utilização do app. No geral o app é muito bom e a loja em geral também faz um bom trabalho.",positive,sadness,,o app bem otimizado facil visualizar produtos pedidos rastreio interface intuitiva porem existem incomodos acho principal ma recomendacao produtos vezes aparece uns produtos deveriam aparecer nada ver pesquisado entao brinquedos sexuais incomoda pouco porem atrapalha completo utilizacao app no geral app bom loja geral faz bom trabalho,"['app', 'bem', 'otimizar', 'facil', 'visualizar', 'produto', 'pedido', 'intuitivo', 'por', 'existem', 'incomor', 'achar', 'principal', 'ma', 'recomendacao', 'vez', 'aparecer', 'produto', 'dever', 'aparecer', 'nada', 'ver', 'pesquisar', 'entao', 'brinquedo', 'sexual', 'incomodo', 'pouco', 'por', 'atrapalho', 'completo', 'utilizacao', 'app', 'geral', 'app', 'bom', 'loja', 'geral', 'fazer', 'bom', 'trabalho']"
59490b23-b17b-4bba-855b-b5053dadc0db,Shopee,"O app é muito bom, prático e fácil de entender, porém alguns vendedores mandam produtos que, apesar de bem semelhantes ao anúncio, ainda tem lá suas diferenças. E em celulares fracos, como o meu, tem vezes que o app fecha sozinho ou trava, chegando a nem abrir as vezes, poderia ser mais leve e otimizado para dispositivos fracos. Mas fora isso o app é ótimo! Excelentes produtos e simples de usar.",positive,sadness,,o app bom pratico facil entender porem alguns vendedores mandam produtos apesar bem semelhantes anuncio ainda la diferencas e celulares fracos vezes app fecha sozinho trava chegando abrir vezes poderia leve otimizado dispositivos fracos mas app otimo excelentes produtos simples usar,"['app', 'bom', 'pratico', 'facil', 'entender', 'por', 'vendedor', 'mandar', 'produto', 'apesar', 'bem', 'semelhante', 'anuncio', 'ainda', 'diferenco', 'celular', 'fraco', 'vez', 'App', 'fechar', 'sozinho', 'trar', 'chegar', 'abrir', 'vez', 'poder', 'leve', 'otimizar', 'dispositivo', 'fraco', 'app', 'excelente', 'produto', 'simples', 'usar']"
48fd8168-1e42-4475-9a99-935c2fd48769,Shopee,"Aplicativo muito bom. Mas algo que me chateou bastante foi o fato de que ao pesquisar um produto e colocar o CEP aparece que o frete é grátis ou bem baratinho e que acima de 10,00 o frete é gratuito. Mas comprei 4 produtos de valores altos e quando coloquei no carrinho e fechei o pedido apareceu valores altos de frete. Deu vontade de desistir da compra, mas como precisava muito acabei comprando. Acho que deveriam informar o valor correto do frete no momento da pesquisa, quando colocamos o CEP.",positive,sadness,,aplicativo bom mas algo chateou bastante fato pesquisar produto colocar cep aparece frete gratis bem baratinho acima frete gratuito mas comprei produtos valores altos coloquei carrinho fechei pedido apareceu valores altos frete deu vontade desistir compra precisava acabei comprando acho deveriam informar valor correto frete momento pesquisa colocamos cep,"['aplicativo', 'bom', 'chatear', 'bastante', 'fato', 'pesquisar', 'produto', 'colocar', 'cep', 'aparecer', 'frete', 'bem', 'baratinho', 'acima', 'frete', 'gratuito', 'comprei', 'produto', 'valor', 'alto', 'coloquei', 'carrinho', 'pedir', 'aparecer', 'valor', 'alto', 'frete', 'dar', 'vontade', 'desistir', 'compra', 'precisar', 'acabar', 'comprar', 'achar', 'dever', 'informar', 'valor', 'correto', 'frete', 'momento', 'pesquisa', 'colocamos', 'cep']"
f4e1468b-6d97-4f1a-927d-1afee2bfbe75,Shopee,"o app é muito bom, porém tenho tido dificuldades para pagamento no cartão de crédito após fazer compra no pix. Eu altero o meio de pagamento porém quando chega na parte de colocar o código do cartão trava e não sai daquela área... já deixei de fazer muitas compras por conta disso. Se puderem concertar esse bug séria ótimo para nós consumidores.",negative,disgust,,app bom porem tido dificuldades pagamento cartao credito apos fazer compra pix eu altero meio pagamento porem chega parte colocar codigo cartao trava sai daquela area deixei fazer muitas compras conta disso se puderem concertar bug otimo consumidores,"['app', 'bom', 'por', 'ter', 'dificuldade', 'pagamento', 'cartao', 'credito', 'apo', 'fazer', 'compra', 'alterar', 'meio', 'pagamento', 'por', 'chegar', 'parte', 'colocar', 'codigo', 'cartao', 'trar', 'sair', 'areo', 'deixeir', 'fazer', 'compra', 'contar', 'puder', 'concertar', 'bug', 'otimo', 'consumidor']"
2ce2db50-eec3-4cf5-afd6-b153ca01cf0f,Shopee,"É muito bom esse app, porém ele fica travando um pouco até mesmo na hora de concluir a compra, aí precisa sair e entrar novamente. Precisaria melhor a plataforma. Mas no mais é bom! Passando para dizer que houve melhoras, finalização da compra está super rápida e adorei a opção de parcelar!😃",positive,happiness,,e bom app porem fica travando pouco hora concluir compra ai precisa sair entrar novamente precisaria melhor plataforma mas bom passando dizer melhoras finalizacao compra super rapida adorei opcao parcelar rosto risonho com olhos bem abertos,"['bom', 'app', 'por', 'ficar', 'travar', 'pouco', 'hora', 'concluir', 'compra', 'precisar', 'sair', 'entrar', 'novamente', 'precisario', 'bom', 'plataforma', 'bom', 'passar', 'dizer', 'melhora', 'finalizacao', 'compra', 'super', 'raper', 'adorar', 'opcao', 'parcelar', 'rosto', 'risonho', 'olho', 'bem', 'aberto']"
404d8ede-bf3e-4652-a410-ec1ad12e40df,Shopee,"Tenho gostado bastante do app. Acredito que em decorrência das atualizações, o app parou de travar durante a sua inicialização. Neste momento, inicio o app com muita agilidade. Quanto aos produtos, consigo encontrar excelentes preços e qualidades também!",positive,happiness,,tenho gostado bastante app acredito decorrencia atualizacoes app parou travar durante inicializacao neste momento inicio app muita agilidade quanto produtos consigo encontrar excelentes precos qualidades,"['gostar', 'bastante', 'app', 'acreditar', 'decorrenciar', 'parar', 'travar', 'inicializacao', 'momento', 'inicio', 'app', 'agilidade', 'quanto', 'produto', 'com si', 'encontrar', 'excelente', 'preco', 'qualidade']"
0d7c4353-a8f6-467c-abd7-c65b26fd4976,Shopee,"Adoro, tudo que você pensar tem e as promoções de frete são o diferencial desse app. As pessoas colaboram muito no sentido de avaliar os produtos com fotos e vídeos, além dos comentários, o que facilita identificar a qualidade na hora de escolher o que comprar. Já fiz várias compras e, na grande maioria, fiquei muito satisfeita.",positive,happiness,,adoro tudo pensar promocoes frete diferencial desse app as pessoas colaboram sentido avaliar produtos fotos videos alem comentarios facilita identificar qualidade hora escolher comprar ja fiz varias compras grande maioria fiquei satisfeita,"['adorar', 'pensar', 'promocoes', 'frete', 'diferencial', 'app', 'pessoa', 'colabor', 'sentido', 'avaliar', 'produto', 'foto', 'video', 'aler', 'comentario', 'facilitar', 'identificar', 'qualidade', 'hora', 'escolher', 'comprar', 'fiz', 'compra', 'grande', 'maioria', 'fiquei', 'satisfeito']"
5410fc9e-d51f-4f6f-9fdc-01b93eed8750,Shopee,"O app é muito bom,algumas mercadorias são realmente de qualidade e preço justo.Chega no prazo,as vezes antes. Mas agora me peguei tentando rastrear um pedido que fiz,e não sei como faz 😔,pelo site dos correios não aceita pq o número de rastreamento é fora do padrão,uma vez que estava marcado pra chegar em uma data e agora mudou radicalmente. Se tiver alguém que saiba sobre esse rastreamento. No mais,estou gostando,comprei muitas coisas de qualidade.",positive,sadness,,o app bom algumas mercadorias realmente qualidade preco justo chega prazo vezes antes mas agora peguei tentando rastrear pedido fiz sei faz rosto deprimido site correios aceita pq numero rastreamento padrao vez marcado pra chegar data agora mudou radicalmente se alguem saiba sobre rastreamento no gostando comprei muitas coisas qualidade,"['app', 'bom', 'mercadoria', 'realmente', 'qualidade', 'preco', 'justo', 'chegar', 'prazo', 'vez', 'antes', 'agora', 'peguei', 'tentar', 'rastrear', 'pedir', 'saber', 'fazer', 'rosto', 'deprimer', 'site', 'aceitar', 'numero', 'rastreamento', 'vez', 'marcar', 'chegar', 'data', 'agora', 'mudar', 'radicalmente', 'alguir', 'saiba', 'rastreamento', 'gostar', 'comprei', 'coisa', 'qualidade']"
31458c8f-8f11-496f-b72e-dacc9470a52f,Shopee,"Estava com problema inicial de não conseguir enviar mensagens no chat, para tirar dúvidas sobre os produtos, com os vendedores. Abri Ajuda, fiz todos os passos das orientações e atendimento, e tive que desistalar e reinstalar o APP para funcionar, porém funcionou somente naquele mesmo dia, no dia seguinte, voltou o problema (terça). Também tentei reclamar de um produto que recebi e não consigo pois o chat não vai. Hoje já reinstalei 4 vezes o app e não reconhece o código por Whatsapp, ou por SMS",negative,anger,,estava problema inicial conseguir enviar mensagens chat tirar duvidas sobre produtos vendedores abri ajuda fiz todos passos orientacoes atendimento desistalar reinstalar app funcionar porem funcionou somente naquele dia dia seguinte voltou problema terca tambem tentei reclamar produto recebi consigo pois chat vai hoje reinstalei vezes app reconhece codigo whatsapp sms,"['problema', 'inicial', 'conseguir', 'enviar', 'mensagem', 'chat', 'tirar', 'duvida', 'produto', 'vendedor', 'abri', 'ajudar', 'fiz', 'passo', 'atendimento', 'desistalar', 'reinstalar', 'app', 'funcionar', 'por', 'funcionar', 'somente', 'dia', 'dia', 'seguinte', 'voltar', 'problema', 'terca', 'tambem', 'tentar', 'reclamar', 'produto', 'recebir', 'com si', 'pois', 'ir', 'hoje', 'reinstalei', 'vez', 'app', 'reconhecer', 'codigo', 'sms']"
